Step,AgentID,State
0,"(7, 81)",-1
0,"(7, 82)",-1
0,"(7, 84)",-1
0,"(7, 85)",-1
0,"(7, 87)",-1
0,"(7, 89)",-1
0,"(7, 90)",-1
0,"(7, 91)",-1
0,"(7, 92)",-1
0,"(7, 93)",-1
0,"(7, 94)",-1
0,"(7, 95)",-1
0,"(7, 98)",-1
0,"(7, 99)",-1
0,"(8, 0)",-1
0,"(8, 1)",-1
0,"(8, 2)",-1
0,"(8, 3)",-1
0,"(8, 4)",-1
0,"(8, 5)",-1
0,"(8, 6)",-1
0,"(8, 7)",-1
0,"(8, 9)",-1
0,"(8, 10)",-1
0,"(8, 11)",-1
0,"(8, 12)",-1
0,"(8, 15)",-1
0,"(8, 16)",-1
0,"(8, 17)",-1
0,"(8, 18)",-1
0,"(8, 19)",-1
0,"(8, 20)",-1
0,"(8, 22)",-1
0,"(8, 23)",-1
0,"(8, 24)",-1
0,"(8, 25)",-1
0,"(8, 27)",-1
0,"(8, 30)",-1
0,"(8, 34)",-1
0,"(8, 37)",-1
0,"(8, 38)",-1
0,"(8, 39)",-1
0,"(8, 40)",-1
0,"(8, 41)",-1
0,"(8, 42)",-1
0,"(8, 43)",-1
0,"(8, 44)",-1
0,"(8, 46)",-1
0,"(8, 48)",-1
0,"(8, 49)",-1
0,"(8, 50)",-1
0,"(8, 52)",-1
0,"(8, 53)",-1
0,"(8, 54)",-1
0,"(8, 55)",-1
0,"(8, 56)",-1
0,"(8, 58)",-1
0,"(8, 63)",-1
0,"(8, 64)",-1
0,"(8, 65)",-1
0,"(8, 67)",-1
0,"(8, 70)",-1
0,"(8, 72)",-1
0,"(8, 73)",-1
0,"(8, 74)",-1
0,"(8, 75)",-1
0,"(8, 76)",-1
0,"(8, 77)",-1
0,"(8, 78)",-1
0,"(8, 80)",-1
0,"(8, 82)",-1
0,"(8, 86)",-1
0,"(8, 87)",-1
0,"(8, 88)",-1
0,"(8, 91)",-1
0,"(8, 92)",-1
0,"(8, 93)",-1
0,"(8, 94)",-1
0,"(8, 95)",-1
0,"(8, 96)",-1
0,"(8, 98)",-1
0,"(8, 99)",-1
0,"(9, 1)",-1
0,"(9, 2)",-1
0,"(9, 3)",-1
0,"(9, 4)",-1
0,"(9, 6)",-1
0,"(9, 7)",-1
0,"(9, 9)",-1
0,"(9, 11)",-1
0,"(9, 14)",-1
0,"(9, 15)",-1
0,"(9, 18)",-1
0,"(9, 19)",-1
0,"(9, 20)",-1
0,"(9, 21)",-1
0,"(9, 22)",-1
0,"(9, 24)",-1
0,"(9, 26)",-1
0,"(9, 27)",-1
0,"(9, 28)",-1
0,"(9, 33)",-1
0,"(9, 34)",-1
0,"(9, 35)",-1
0,"(9, 36)",-1
0,"(9, 38)",-1
0,"(9, 39)",-1
0,"(9, 40)",-1
0,"(9, 42)",-1
0,"(9, 44)",-1
0,"(9, 47)",-1
0,"(9, 48)",-1
0,"(9, 49)",-1
0,"(9, 50)",-1
0,"(9, 51)",-1
0,"(9, 54)",-1
0,"(9, 55)",-1
0,"(9, 56)",-1
0,"(9, 57)",-1
0,"(9, 58)",-1
0,"(9, 59)",-1
0,"(9, 60)",-1
0,"(9, 61)",-1
0,"(9, 62)",-1
0,"(9, 63)",-1
0,"(9, 64)",-1
0,"(9, 66)",-1
0,"(9, 67)",-1
0,"(9, 68)",-1
0,"(9, 69)",-1
0,"(9, 73)",-1
0,"(9, 75)",-1
0,"(9, 76)",-1
0,"(9, 79)",-1
0,"(9, 80)",-1
0,"(9, 82)",-1
0,"(9, 83)",-1
0,"(9, 84)",-1
0,"(9, 87)",-1
0,"(9, 93)",-1
0,"(9, 95)",-1
0,"(9, 98)",-1
0,"(9, 99)",-1
0,"(10, 1)",-1
0,"(10, 2)",-1
0,"(10, 3)",-1
0,"(10, 4)",-1
0,"(10, 5)",-1
0,"(10, 6)",-1
0,"(10, 7)",-1
0,"(10, 9)",-1
0,"(10, 10)",-1
0,"(10, 12)",-1
0,"(10, 15)",-1
0,"(10, 16)",-1
0,"(10, 19)",-1
0,"(10, 21)",-1
0,"(10, 22)",-1
0,"(10, 25)",-1
0,"(10, 27)",-1
0,"(10, 28)",-1
0,"(10, 29)",-1
0,"(10, 30)",-1
0,"(10, 31)",-1
0,"(10, 32)",-1
0,"(10, 33)",-1
0,"(10, 35)",-1
0,"(10, 36)",-1
0,"(10, 37)",-1
0,"(10, 38)",-1
0,"(10, 39)",-1
0,"(10, 41)",-1
0,"(10, 42)",-1
